3,0,3
17,4,11
23,5,19
32,6,3
39,8,3
56,12,18
60,13,11
64,14,19
78,16,10
91,20,2
100,21,10
108,22,17
2,0,18
15,4,1
25,5,11
34,6,9
55,12,3
62,13,10
70,14,17
101,21,11
106,22,2
109,22,9
22,5,10
30,6,19
72,14,9
93,20,15
98,21,23
24,5,7
69,14,17
105,22,18
31,6,11
71,14,3
107,22,20
63,13,17
33,6,7
